link;source;created;lastSeen
http://www.dr.dk/levnu/mad/stegt-bacon-er-en-kaempe-aromabombe;https://www.facebook.com/DRNyheder/;05/05/16 11:05;06/05/16 13:25
http://www.dr.dk/levnu/mad/tidens-kagetendens-pynt-og-mere-pynt#!/;https://www.facebook.com/DRNyheder/;28/05/16 11:45;29/05/16 13:25
http://www.dr.dk/levnu/mad/video-150-maend-spiser-sig-gennem-200-kilo-stegt-flaesk#!/00:28;https://www.facebook.com/DRNyheder/;04/05/16 17:55;05/05/16 17:35
http://www.dr.dk/levnu/om-faa-aar-koeber-koeleskabet-selv-ind;https://www.facebook.com/DRNyheder/;08/05/16 10:55;09/05/16 10:25
http://www.dr.dk/levnu/psykologi/12-aar-efter-mors-doed-sofie-er-stadig-vred-paa-sin-far;https://www.facebook.com/DRNyheder/;02/05/16 14:05;03/05/16 11:45
http://www.dr.dk/levnu/psykologi/aldrig-sent-psykologen-vi-skal-turde-tage-familie-konflikterne;https://www.facebook.com/DRNyheder/;31/05/16 17:15;01/06/16 11:35
http://www.dr.dk/levnu/psykologi/ansatte-paa-hospice-berigende-arbejde-blandt-doeende;https://www.facebook.com/DRNyheder/;29/05/16 13:05;30/05/16 10:55
http://www.dr.dk/levnu/psykologi/christina-broed-kontakten-til-sin-far-efter-hunden-loeb-bort#!/00:24;https://www.facebook.com/DRNyheder/;17/05/16 18:05;18/05/16 16:35
http://www.dr.dk/levnu/psykologi/de-mistede-deres-lille-soen-sociale-medier-er-en-ventil-i-sorgen;https://www.facebook.com/DRNyheder/;18/05/16 10:05;19/05/16 04:55
http://www.dr.dk/levnu/psykologi/din-medbragte-ret-til-skolefesten-viser-din-sociale-klasse;https://www.facebook.com/DRNyheder/;04/05/16 20:25;06/05/16 07:35
http://www.dr.dk/levnu/psykologi/her-er-tegnene-paa-demens;https://www.facebook.com/DRNyheder/;09/05/16 09:15;10/05/16 04:55
http://www.dr.dk/levnu/psykologi/hyldes-alle-steder-candace-har-faaet-150-millioner-mennesker-til-grine;https://www.facebook.com/DRNyheder/;27/05/16 10:35;28/05/16 06:55
http://www.dr.dk/levnu/psykologi/jens-fortryder-han-svigtede-sine-boern-da-deres-mor-doede;https://www.facebook.com/DRNyheder/;09/05/16 18:55;10/05/16 15:25
http://www.dr.dk/levnu/psykologi/kirsten-skal-snart-doe-jeg-har-forberedt-min-bisaettelse-og-nyder-livet;https://www.facebook.com/DRNyheder/;29/05/16 08:55;30/05/16 06:55
http://www.dr.dk/levnu/psykologi/kraeftens-bekaempelse-efterlyser-mere-hjaelp-til-soergende-boern;https://www.facebook.com/DRNyheder/;08/05/16 07:55;09/05/16 07:45
http://www.dr.dk/levnu/psykologi/kristian-fik-lykkepiller-da-hans-far-doede-det-var-helt-skaevt;https://www.facebook.com/DRNyheder/;12/05/16 13:35;13/05/16 10:15
http://www.dr.dk/levnu/psykologi/mikkel-har-tilgivet-sin-far-seksuelle-overgreb;https://www.facebook.com/DRNyheder/;20/05/16 13:15;21/05/16 15:25
http://www.dr.dk/levnu/psykologi/ny-bog-stress-skal-arbejdes-vaek;https://www.facebook.com/DRNyheder/;10/05/16 14:55;11/05/16 10:25
http://www.dr.dk/levnu/psykologi/paaroerende-bliver-fysisk-og-psykisk-paavirket-af-hjaelpe;https://www.facebook.com/DRNyheder/;27/05/16 13:35;28/05/16 10:15
http://www.dr.dk/levnu/psykologi/psykolog-der-findes-ogsaa-god-ensomhed;https://www.facebook.com/DRNyheder/;23/05/16 16:05;24/05/16 14:55
http://www.dr.dk/levnu/psykologi/video-otteogfirs-og-frygtloes#!/;https://www.facebook.com/DRNyheder/;21/05/16 12:45;22/05/16 13:15
http://www.dr.dk/nyheder/billedserier/billeder-indonesisk-vulkan-sender-glohed-aske-ned-ad-sine-bjergsider;https://www.facebook.com/DRNyheder/;22/05/16 18:15;23/05/16 17:55
http://www.dr.dk/nyheder/indland/10-aar-efter-nobels-fredspris-saadan-gaar-det-med-mikrolaanene-i-dag;https://www.facebook.com/DRNyheder/;17/05/16 08:55;18/05/16 05:25
http://www.dr.dk/nyheder/indland/3f-traekker-siemens-wind-power-i-retten;https://www.facebook.com/DRNyheder/;02/05/16 04:45;02/05/16 18:45
http://www.dr.dk/nyheder/indland/452-millioner-ligger-i-folkekirkens-kasse;https://www.facebook.com/DRNyheder/;19/05/16 05:05;19/05/16 17:05
http://www.dr.dk/nyheder/indland/aarhusiansk-teenager-tiltales-terrortrusler-paa-facebook;https://www.facebook.com/DRNyheder/;11/05/16 11:25;12/05/16 06:45
http://www.dr.dk/nyheder/indland/advarsel-fupmagere-snyder-nets-kunder;https://www.facebook.com/DRNyheder/;30/05/16 14:55;31/05/16 09:55
http://www.dr.dk/nyheder/indland/advokat-modtog-hademails-efter-omtalt-sag-det-gaar-over-mine-graenser;https://www.facebook.com/DRNyheder/;16/05/16 12:55;17/05/16 13:05
http://www.dr.dk/nyheder/indland/advokat-om-df-forslag-ulovligt-inddrage-permanente-opholdstilladelser;https://www.facebook.com/DRNyheder/;27/05/16 11:25;28/05/16 07:55
http://www.dr.dk/nyheder/indland/anklager-levakovics-boern-kan-besoege-ham-i-kroatien;https://www.facebook.com/DRNyheder/;02/05/16 10:35;03/05/16 08:45
http://www.dr.dk/nyheder/indland/ansatte-hos-vestas-er-blevet-syge-af-arbejde;https://www.facebook.com/DRNyheder/;17/05/16 15:15;18/05/16 13:45
http://www.dr.dk/nyheder/indland/antallet-af-grove-sager-om-dyremishandling-stiger;https://www.facebook.com/DRNyheder/;23/05/16 15:35;24/05/16 14:15
